bin,mean_pred,observed_rate,count,model
"(0.00015999999999999999, 0.0116]",0.007946575391879505,0.0,195,advanced_glm
"(0.0116, 0.0189]",0.015223745704414177,0.005154639175257732,194,advanced_glm
"(0.0189, 0.0274]",0.02297872633174418,0.015463917525773196,194,advanced_glm
"(0.0274, 0.0415]",0.03404965997249894,0.03608247422680412,194,advanced_glm
"(0.0415, 0.0725]",0.05532941476789455,0.05670103092783505,194,advanced_glm
"(0.0725, 0.112]",0.09207347927771858,0.05154639175257732,194,advanced_glm
"(0.112, 0.178]",0.14374156372444377,0.16494845360824742,194,advanced_glm
"(0.178, 0.289]",0.2308735942322063,0.211340206185567,194,advanced_glm
"(0.289, 0.476]",0.38069917569181866,0.4690721649484536,194,advanced_glm
"(0.476, 0.933]",0.6317090559905345,0.6134020618556701,194,advanced_glm
"(-0.000844, 0.00738]",0.0028675589362225366,0.0,195,nonlinear_ts_forest
"(0.00738, 0.0265]",0.017245429900222833,0.0,194,nonlinear_ts_forest
"(0.0265, 0.046]",0.03699763333877046,0.010309278350515464,194,nonlinear_ts_forest
"(0.046, 0.0616]",0.05391881274051289,0.061855670103092786,194,nonlinear_ts_forest
"(0.0616, 0.0767]",0.06892918173508274,0.030927835051546393,194,nonlinear_ts_forest
"(0.0767, 0.0964]",0.08544090851108532,0.08762886597938144,194,nonlinear_ts_forest
"(0.0964, 0.142]",0.11659007864273975,0.1134020618556701,194,nonlinear_ts_forest
"(0.142, 0.275]",0.20813755329969366,0.20103092783505155,194,nonlinear_ts_forest
"(0.275, 0.493]",0.3839640519076401,0.5,194,nonlinear_ts_forest
"(0.493, 0.941]",0.6728617060110261,0.6185567010309279,194,nonlinear_ts_forest
