subset,model,auc,pr_auc,brier,log_loss
FD001,baseline_glm,0.9807866333313007,0.9178152960812865,0.037120740917627675,0.12342892574377146
FD001,advanced_glm,0.9935727788279773,0.9680343958274245,0.022712145148950216,0.07389143321994043
FD001,nonlinear_ts_forest,0.9961550501046812,0.979655537180806,0.019252812465783403,0.06349843114077779
FD002,baseline_glm,0.9380088069636456,0.7985875578848378,0.05979110976602876,0.20620101495956566
FD002,advanced_glm,0.9823131592421915,0.9111252923931679,0.036752555879569826,0.1246151423827229
FD002,nonlinear_ts_forest,0.9832987199180747,0.9181025426653582,0.058298728797305986,0.2143905675785133
FD003,baseline_glm,0.9872127194402558,0.913300550483202,0.02822266256193976,0.09383121181454272
FD003,advanced_glm,0.996188608379511,0.9740504289792906,0.016402403724404296,0.05204801281792593
FD003,nonlinear_ts_forest,0.9965709810016312,0.9780160545402427,0.014779126332874554,0.050092106496066637
FD004,baseline_glm,0.9160615757156447,0.7321115396387543,0.0502646101992302,0.1867515591945741
FD004,advanced_glm,0.979855285537202,0.8566022524976921,0.03703293380280302,0.11845389439562265
FD004,nonlinear_ts_forest,0.9488835077402058,0.7212828801021652,0.06113926637108441,0.21939873013962194
